VIN,Year,Make,Model,Trim,Mileage,Price,Stock #,Body Style,Drivetrain,Exterior Color,Interior Color,Vehicle URL,Main Image URL,Image URL 2,Image URL 3,Image URL 4,Image URL 5
3GNCJPSB5KL154685,2019,Chevrolet,Trax,LT,63499.0,13995,250477A,,,,,https://www.goodchev.com/used-Renton-2019-Chevrolet-Trax-LT-3GNCJPSB5KL154685,/vehicles/250477A_1.jpg,,,,
5TDKDRBH0PS512417,2023,Toyota,Highlander,L,29727.0,35200,P58943,,,,,https://www.goodchev.com/used-Renton-2023-Toyota-Highlander-L-5TDKDRBH0PS512417,/vehicles/P58943_1.jpg,,,,
1FMCU9H91MUA75809,2021,Ford,ESCAPE, ,20170.0,22095,P58951,,,,,https://www.goodchev.com/used-Renton-2021-Ford-ESCAPE-+-1FMCU9H91MUA75809,/vehicles/P58951_1.jpg,,,,
5XYRK4LF2NG077303,2022,Kia,Sorento,SX Prestige,24135.0,30155,P58964,,,,,https://www.goodchev.com/used-Renton-2022-Kia-Sorento-SX+Prestige-5XYRK4LF2NG077303,/vehicles/P58964_1.jpg,,,,
4JGFB4KB0LA078511,2020,Mercedes Benz, ,GLE 350,72015.0,30788,P58961,,,,,https://www.goodchev.com/used-Renton-2020-Mercedes+Benz-+-GLE+350-4JGFB4KB0LA078511,/vehicles/P58961_1.jpg,,,,
7PDSGABL7PN004327,2023,RIVIAN,R1S,Launch Edition,22278.0,65995,P58980,,,,,https://www.goodchev.com/used-Renton-2023-RIVIAN-R1S-Launch+Edition-7PDSGABL7PN004327,/vehicles/P58980_1.jpg,,,,
1GCRTEE17M1209927,2021,Chevrolet,Colorado,ZR2,178.0,47895,P58983,,,,,https://www.goodchev.com/used-Renton-2021-Chevrolet-Colorado-ZR2-1GCRTEE17M1209927,/vehicles/P58983_1.jpg,,,,
1GCWGAFP8P1214240,2023,Chevrolet,Express Cargo 2500,WT,18736.0,28995,P58973,,,,,https://www.goodchev.com/used-Renton-2023-Chevrolet-Express+Cargo+2500-WT-1GCWGAFP8P1214240,/vehicles/P58973_1.jpg,,,,
1GCWGAFPXP1214224,2023,Chevrolet,Express Cargo 2500,WT,16535.0,29595,P58976,,,,,https://www.goodchev.com/used-Renton-2023-Chevrolet-Express+Cargo+2500-WT-1GCWGAFPXP1214224,/vehicles/P58976_1.jpg,,,,
1GTW7AFP5P1201445,2023,GMC,Savana Cargo 2500,Work Van,18420.0,CALL FOR PRICING & AVAILABILITY,P58978,,,,,https://www.goodchev.com/used-Renton-2023-GMC-Savana+Cargo+2500-Work+Van-1GTW7AFP5P1201445,/vehicles/P58978_1.jpg,,,,
1GTW7AFP5P1216690,2023,GMC,Savana Cargo 2500,Work Van,17879.0,28595,P58979,,,,,https://www.goodchev.com/used-Renton-2023-GMC-Savana+Cargo+2500-Work+Van-1GTW7AFP5P1216690,/vehicles/P58979_1.jpg,,,,
3GNAXHEG4SL175417,2025,Chevrolet,Equinox,LT,10398.0,24527,250466A,,,,,https://www.goodchev.com/used-Renton-2025-Chevrolet-Equinox-LT-3GNAXHEG4SL175417,/vehicles/250466A_1.jpg,,,,
1G1RC6S54JU151145,2018,Chevrolet,Volt,LT,63123.0,14995,250317A,,,,,https://www.goodchev.com/used-Renton-2018-Chevrolet-Volt-LT-1G1RC6S54JU151145,/vehicles/250317A_1.jpg,,,,
1GCPTFEK9R1113455,2024,Chevrolet,Colorado,ZR2,11882.0,48995,P58984,,,,,https://www.goodchev.com/used-Renton-2024-Chevrolet-Colorado-ZR2-1GCPTFEK9R1113455,/vehicles/P58984_1.jpg,,,,
3GN7DSRP6SS140913,2025,Chevrolet,Equinox EV,RS,4065.0,CALL FOR PRICING & AVAILABILITY,P58996,,,,,https://www.goodchev.com/used-Renton-2025-Chevrolet-Equinox+EV-RS-3GN7DSRP6SS140913,/vehicles/P58996_1.jpg,/vehicles/P58996_2.jpg,,,
LRBFXBSA7KD146008,2019,Buick,Envision,Preferred,106.253,14595,P58977A,,,,,https://www.goodchev.com/used-Renton-2019-Buick-Envision-Preferred-LRBFXBSA7KD146008,/vehicles/P58977A_1.jpg,,,,
5NPEH4J28LH021739,2020,Hyundai,Sonata,Limited,51877.0,20746,P59000,,,,,https://www.goodchev.com/used-Renton-2020-Hyundai-Sonata-Limited-5NPEH4J28LH021739,/vehicles/P59000_1.jpg,,,,
5NPLP4AG6NH059477,2022,Hyundai,Elantra,Limited,51086.0,19995,P58999,,,,,https://www.goodchev.com/used-Renton-2022-Hyundai-Elantra-Limited-5NPLP4AG6NH059477,/vehicles/P58999_1.jpg,,,,
YV4L12RK3N1021126,2022,Volvo,XC60,Momentum,42783.0,30768,P58998,,,,,https://www.goodchev.com/used-Renton-2022-Volvo-XC60-Momentum-YV4L12RK3N1021126,/vehicles/P58998_1.jpg,,,,
